Three	O
new	O
species	O
of	O
Angiosperms	B-geography
have	I-geography
been	I-geography
found	I-geography
in	I-geography
four	I-geography
short	I-geography
collection	O
trips	O
to	O
the	O
same	O
protected	O
reserveEstao	O
Ecolgica	O
Estadual	O
de	O
Wenceslau	O
Guimaresand	O
neighboring	O
areas	O
in	O
the	O
Atlantic	O
Forest	B-geography
in	I-geography
the	I-geography
south	I-geography
of	I-geography
the	I-geography
Brazilian	I-geography
state	O
of	O
Bahia	O
.	O
These	O
new	O
species	O
belong	O
to	O
three	O
genera	B-geography
from	I-geography
three	I-geography
distinct	I-geography
lineages	I-geography
in	I-geography
the	I-geography
family	O
Melastomataceae:	O
Huberia,	O
Meriania	O
and	O
Physeterostemon	O
.	O
The	O
description	O
of	O
these	O
species	O
represent	B-geography
a	I-geography
good	I-geography
example	I-geography
of	I-geography
a	I-geography
Linnean	I-geography
shortfall,	O
i.e.,	O
the	O
absence	O
of	O
basic	O
knowledge	B-ecosystem
about	I-ecosystem
the	I-ecosystem
biodiversity	I-ecosystem
in	I-ecosystem
the	I-ecosystem
area,	I-ecosystem
as	B-geography
well	I-geography
as	I-geography
in	I-geography
tropical	I-geography
forests	I-ecosystem
as	O
a	O
whole	O
.	O
The	O
description	B-geography
of	I-geography
these	I-geography
probably	I-geography
endemic	I-geography
species	I-geography
per	I-geography
se	O
is	O
a	O
signal	O
that	O
this	O
area	O
deserves	B-geography
more	I-geography
attention	I-geography
regarding	I-geography
research	I-geography
and	I-geography
policies,	I-geography
but	O
its	O
consequences	O
go	O
farther:	O
this	O
area	B-geography
has	I-geography
a	I-geography
relevant	I-geography
role	I-geography
as	I-geography
a	I-geography
phylogenetic	B-geography
-LRB-both	I-geography
genetic	I-geography
and	I-geography
morphological-RRB-	I-geography
stock,	I-geography
and	B-geography
thus	I-geography
is	I-geography
also	I-geography
valuable	I-geography
as	O
a	O
phylogenetic	O
conservation	O
priority	O
.	O
Introduction	B-ecosystem
Studies	I-ecosystem
on	I-ecosystem
biodiversity	I-ecosystem
and	I-ecosystem
evolutionary	I-geography
biology	I-geography
have	O
been	O
traditionally	O
hindered	O
by	O
gaps	B-geography
in	I-geography
basic,	I-geography
natural	I-geography
history	I-geography
knowledge,	I-geography
no	I-geography
matter	B-geography
what	I-geography
kind	I-geography
of	I-geography
methods	I-geography
or	I-geography
organisms	O
they	O
deal	O
with	O
.	O
These	O
shortfalls	O
can	O
be	O
linked	O
