A	B-female
34-year-old	I-female
woman	I-female
was	I-female
admitted	I-female
to	I-female
the	O
hospital	B-adult
because	I-adult
of	I-adult
recently	I-adult
aggravated	I-adult
right	I-adult
heart	I-adult
failure	I-adult
without	I-adult
angina	O
for	O
5	O
months	O
.	O
When	O
she	B-adult
was	I-adult
25	I-adult
years	I-adult
old,	I-adult
patch	I-adult
repair	I-adult
with	O
Polytetrafluoroethylene	B-adult
-LRB-PTFE-RRB-	I-adult
was	I-adult
performed	I-adult
for	I-adult
the	I-adult
secondum	I-adult
type	I-adult
of	O
atrial	O
septal	O
defect	B-adult
-LRB-ASD-RRB-	I-adult
with	I-adult
moderate	I-adult
pulmonary	I-adult
hypertension	I-adult
.	O
The	B-radiography
chest	I-radiography
PA,	I-radiography
echocardiography	I-radiography
and	I-radiography
cardiac	I-adult
catheterization	B-adult
at	I-adult
current	I-adult
admission	I-adult
revealed	I-adult
Eisenmenger	I-adult
syndrome	B-adult
without	I-adult
intracardiac	I-adult
shunt	I-adult
.	O
Chest	O
CT	B-adult
scan	I-adult
with	I-adult
contrast	I-adult
revealed	I-adult
markedly	I-adult
dilated	I-adult
pulmonary	O
trunk,	O
both	O
pulmonary	O
arteries	O
and	O
concave	O
disfigurement	B-adult
of	I-adult
the	I-adult
left	I-adult
side	I-adult
of	I-adult
the	I-adult
ascending	B-adult
aorta	I-adult
suggesting	I-adult
extrinsic	I-adult
compression,	I-adult
as	I-adult
well	I-adult
as	B-adult
total	I-adult
occlusion	I-adult
of	I-adult
the	I-adult
ostium	B-adult
of	I-adult
the	I-adult
left	I-adult
main	I-adult
coronary	I-adult
artery	I-adult
that	O
was	O
retrogradly	O
filled	O
with	O
collateral	O
circulation	B-adult
from	I-adult
the	I-adult
right	I-adult
coronary	I-adult
artery	I-adult
.	O
The	B-adult
coronary	I-adult
angiography	I-adult
showed	I-adult
normal	I-adult
right	I-adult
coronary	I-adult
artery	O
and	O
the	B-adult
collaterals	I-adult
that	I-adult
come	I-adult
out	I-adult
from	I-adult
the	I-adult
conus	O
branch	O
to	O
the	O
mid-left	O
anterior	O
descending	O
artery	O
-LRB-LAD-RRB-	O
and	O
that	B-adult
from	I-adult
distal	I-adult
right	I-adult
coronary	I-adult
artery	I-adult
to	I-adult
the	B-adult
left	I-adult
circumflex	I-adult
artery	I-adult
-LRB-LCX-RRB-	I-adult
and	O
to	O
the	O
distal	O
LAD,	O
respectively	O
.	O
On	B-adult
aortography,	I-adult
the	I-adult
left	I-adult
main	I-adult
coronary	I-adult
artery	I-adult
was	O
not	O
visualized	O
with	B-adult
no	I-adult
stump,	I-adult
suggestive	I-adult
of	I-adult
total	I-adult
occlusion	I-adult
of	O
the	O
ostium	B-adult
of	I-adult
the	I-adult
left	I-adult
main	I-adult
coronary	I-adult
artery	I-adult
.	O
From	O
our	O
experience,	B-adult
it	I-adult
is	I-adult
possible	I-adult
to	I-adult
say	I-adult
that	I-adult
the	O
occlusion	O
of	O
the	O
ostium	B-adult
of	I-adult
the	I-adult
left	I-adult
main	I-adult
coronary	I-adult
can	I-adult
be	B-adult
induced	I-adult
by	I-adult
the	I-adult
dilated	I-adult
pulmonary	B-adult
artery	I-adult
trunk	I-adult
due	I-adult
to	I-adult
ASD	I-adult
with	I-adult
pulmonary	O
hypertension	O
and	O
that,	O
if	O
the	O
ASD	O
closure	O
was	O
too	O
late,	O
the	O
narrowing	O
or	O
obstruction	B-adult
of	I-adult
the	I-adult
left	I-adult
coronary	I-adult
artery	I-adult
could	I-adult
not	B-adult
be	I-adult
resolved	I-adult
even	I-adult
after	I-adult
operation	I-exercise
owing	I-adult
to	O
irreversible	O
pulmonary	O
hypertension	O
.	O
INTRODUCTION	O
Atrial	O
septal	O
defect	B-adult
in	I-adult
the	I-adult
middle-aged	I-adult
and	I-adult
elderly,	I-adult
which	I-adult
is	B-adult
associated	I-adult
with	I-adult
dilated	I-adult
main	I-adult
pulmonary	B-adult
artery,	I-adult
usually	I-adult
induces	I-adult
progressive	I-adult
pulmonary	I-adult
hypertension	B-adult
